MAZDA;0;1 год;2 года;3 года;4 года;5 лет;6 лет;7 лет;8 лет
MAZDA 2;9,88%;11,50%;12,14%;12,78%;13,42%;14,06%;15,98%;16,62%;17,90%
MAZDA 3;10,66%;12,42%;13,11%;13,80%;14,49%;15,18%;17,25%;17,94%;19,32%
MAZDA 5;5,68%;6,61%;6,98%;7,35%;7,72%;8,08%;9,19%;9,55%;10,29%
MAZDA 6;8,93%;10,40%;10,97%;11,55%;12,13%;12,71%;14,44%;15,02%;16,17%
MAZDA B2500;5,33%;6,20%;6,55%;6,89%;7,24%;7,58%;8,62%;8,96%;9,65%
MAZDA BT-50;5,33%;6,20%;6,55%;6,89%;7,24%;7,58%;8,62%;8,96%;9,65%
MAZDA CX-5;5,57%;6,48%;6,84%;7,20%;7,56%;7,92%;9,00%;9,36%;10,09%
MAZDA CX-7;5,40%;6,29%;6,64%;6,99%;7,34%;7,68%;8,73%;9,08%;9,78%
MAZDA CX-9;5,33%;6,20%;6,55%;6,89%;7,24%;7,58%;8,62%;8,96%;9,65%
MAZDA MPV;5,33%;6,20%;6,55%;6,89%;7,24%;7,58%;8,62%;8,96%;9,65%
MAZDA MX-5;5,33%;6,20%;6,55%;6,89%;7,24%;7,58%;8,62%;8,96%;9,65%
MAZDA PREMACY;5,33%;6,20%;6,55%;6,89%;7,24%;7,58%;8,62%;8,96%;9,65%
MAZDA TRIBUTE;5,33%;6,20%;6,55%;6,89%;7,24%;7,58%;8,62%;8,96%;9,65%
MERCEDES-BENZ;0;1 год;2 года;3 года;4 года;5 лет;6 лет;7 лет;8 лет
MERCEDES-BENZ A-Classe;6,98%;8,13%;8,58%;9,04%;9,49%;9,94%;11,29%;11,75%;12,65%
MERCEDES-BENZ B-Classe;6,41%;7,46%;7,88%;8,29%;8,70%;9,12%;10,36%;10,78%;11,61%
MERCEDES-BENZ C-Classe;5,23%;6,09%;6,43%;6,77%;7,11%;7,45%;8,46%;8,80%;9,48%
MERCEDES-BENZ E-Classe;4,39%;5,11%;5,40%;5,68%;5,97%;6,25%;7,10%;7,39%;7,96%
MERCEDES-BENZ GL;3,81%;4,43%;4,68%;4,93%;5,17%;5,42%;6,16%;6,40%;6,90%
MERCEDES-BENZ GLK;4,49%;5,23%;5,52%;5,81%;6,10%;6,39%;7,26%;7,55%;8,13%
MERCEDES-BENZ M-Classe;4,08%;4,75%;5,01%;5,28%;5,54%;5,81%;6,60%;6,86%;7,39%
MERCEDES-BENZ SPRINTER;5,33%;6,20%;6,55%;6,89%;7,24%;7,58%;8,62%;8,96%;9,65%
MERCEDES-BENZ VIANO;4,87%;5,67%;5,99%;6,30%;6,62%;6,93%;7,88%;8,19%;8,82%
MERCEDES-BENZ VITO;5,33%;6,20%;6,55%;6,89%;7,24%;7,58%;8,62%;8,96%;9,65%
MINI;0;1 год;2 года;3 года;4 года;5 лет;6 лет;7 лет;8 лет
MINI CLUBMAN;6,41%;7,46%;7,88%;8,29%;8,70%;9,12%;10,36%;10,78%;11,61%
MINI COOPER;6,98%;8,13%;8,58%;9,04%;9,49%;9,94%;11,29%;11,75%;12,65%
MINI COUNTRYMAN;6,41%;7,46%;7,88%;8,29%;8,70%;9,12%;10,36%;10,78%;11,61%
MITSUBISHI;0;1 год;2 года;3 года;4 года;5 лет;6 лет;7 лет;8 лет
MITSUBISHI ASX;7,10%;8,27%;8,73%;9,19%;9,65%;10,11%;11,49%;11,95%;12,87%
MITSUBISHI CARISMA;6,27%;7,30%;7,71%;8,11%;8,52%;8,93%;10,14%;10,55%;11,36%
MITSUBISHI COLT;9,93%;11,56%;12,20%;12,84%;13,49%;14,13%;16,06%;16,70%;17,98%
MITSUBISHI GALANT;6,27%;7,30%;7,71%;8,11%;8,52%;8,93%;10,14%;10,55%;11,36%
MITSUBISHI GRANDIS;5,65%;6,58%;6,94%;7,31%;7,67%;8,04%;9,13%;9,50%;10,23%
MITSUBISHI L200;5,66%;6,60%;6,96%;7,33%;7,69%;8,06%;9,16%;9,53%;10,26%
MITSUBISHI LANCER;11,91%;13,87%;14,64%;15,41%;16,18%;16,95%;19,26%;20,03%;21,58%
MITSUBISHI MIRAGE;6,27%;7,30%;7,71%;8,11%;8,52%;8,93%;10,14%;10,55%;11,36%
MITSUBISHI MONTERO;5,64%;6,57%;6,93%;7,30%;7,66%;8,03%;9,12%;9,49%;10,22%
MITSUBISHI OUTLANDER;6,11%;7,12%;7,51%;7,91%;8,30%;8,70%;9,88%;10,28%;11,07%
MITSUBISHI OUTLANDER XL;6,68%;7,78%;8,21%;8,64%;9,07%;9,51%;10,80%;11,23%;12,10%
MITSUBISHI PAJERO;5,47%;6,37%;6,73%;7,08%;7,43%;7,79%;8,85%;9,20%;9,91%
MITSUBISHI PAJERO SPORT;6,13%;7,14%;7,53%;7,93%;8,32%;8,72%;9,91%;10,31%;11,10%
NISSAN;0;1 год;2 года;3 года;4 года;5 лет;6 лет;7 лет;8 лет
NISSAN ALMERA;11,30%;13,15%;13,88%;14,61%;15,34%;16,08%;18,27%;19,00%;20,46%
NISSAN ARMADA;4,70%;5,48%;5,78%;6,09%;6,39%;6,69%;7,61%;7,91%;8,52%
NISSAN JUKE;6,58%;7,67%;8,09%;8,52%;8,94%;9,37%;10,65%;11,07%;11,93%
NISSAN MAXIMA;8,38%;9,76%;10,30%;10,85%;11,39%;11,93%;13,56%;14,10%;15,19%
NISSAN MICRA;11,38%;13,25%;13,98%;14,72%;15,45%;16,19%;18,40%;19,13%;20,60%
NISSAN MURANO;5,02%;5,84%;6,16%;6,49%;6,81%;7,14%;8,11%;8,44%;9,09%
NISSAN NAVARA;5,64%;6,57%;6,93%;7,30%;7,66%;8,03%;9,12%;9,49%;10,22%
NISSAN NOTE;8,30%;9,67%;10,21%;10,74%;11,28%;11,82%;13,43%;13,97%;15,04%
NISSAN NP 300;6,21%;7,23%;7,63%;8,03%;8,43%;8,83%;10,04%;10,44%;11,24%
NISSAN PATHFINDER;5,14%;5,99%;6,32%;6,66%;6,99%;7,32%;8,32%;8,65%;9,32%
NISSAN PATROL;4,70%;5,48%;5,78%;6,09%;6,39%;6,69%;7,61%;7,91%;8,52%
NISSAN PRIMERA;6,27%;7,30%;7,71%;8,11%;8,52%;8,93%;10,14%;10,55%;11,36%
NISSAN QASHQAI;5,63%;6,56%;6,92%;7,29%;7,65%;8,02%;9,11%;9,47%;10,20%
NISSAN QASHQAI+2;5,89%;6,86%;7,24%;7,62%;8,00%;8,38%;9,52%;9,90%;10,66%
NISSAN TEANA (фр. 9 000 р.);7,96%;9,27%;9,78%;10,30%;10,81%;11,33%;12,87%;13,39%;14,42%
